"id","nazwa","rozmiar","index_predkosci","index_nosnosci","cena","dostepnosc"
"675","ALL TERRAIN T/A KO","202","S","104","600.00","tak"
"676","MUD TERRAIN T/A KM2","202","Q","104","669.00","tak"
"677","ALL TERRAIN T/A KO","203","S","120","696.00","tak"
"678","MUD TERRAIN T/A KM2","203","Q","120","810.00","tak"
"679","CARAT EXELERO MFS","216","Y","100","1126.00","tak"
"680","Duravis R410","73","R","87","257.00","tak"
"681","B250","76","T FR","77","355.00","tak"
"682","B340","76","T","77","433.00","tak"
"683","Potenza RE88","319","H","79","302.00","tak"
"684","B250","78","T","80","335.00","tak"
"685","B250","79","T","82","218.00","tak"
"686","B250","79","T","82","218.00","tak"
"687","B250","79","T","82","218.00","tak"
"688","Ecopia EP150","79","T","82","228.00","tak"
"689","Ecopia EP150","79","H","82","349.00","tak"
"690","B250","80","S","84","320.00","tak"
"691","Ecopia EP25","80","S ROF","84","259.00","tak"
"692","B250","80","T","84","280.00","tak"
"693","B250","80","H","84","471.00","tak"
"694","B250","81","T","82","182.00","tak"
"695","B250","82","T","84","205.00","tak"
"696","B250","82","T","88","335.00","tak"
"697","B391","82","T RF","88","339.00","tak"
"698","B340","85","T","82","339.00","tak"
"699","Turanza ER300","85","H","82","375.00","tak"
"700","Turanza ER300","85","H","82","405.00","tak"
"701","Potenza RE040","85","V","81","400.00","tak"
"702","B250","86","T","82","200.00","tak"
"703","Turanza ER300","86","H","82","345.00","tak"
"704","B250","87","T VW","84","368.00","tak"
"705","B250","87","T","84","349.00","tak"
"706","B250","87","H","84","495.00","tak"
"707","Potenza RE080","87","H","84","495.00","tak"
"708","Turanza ER300","87","H","84","369.00","tak"
"709","Turanza ER300","87","H","84","369.00","tak"
"710","Turanza T001","87","H","84","495.00","tak"
"711","B250","87","T","88","499.00","tak"
"712","B250","87","H","88","521.00","tak"
"713","CARAT EXELERO MFS","216","T FR","100","1126.00","tak"
"714","Duravis R410","73","S ROF","87","257.00","tak"
"715","B250","76","T RF","77","355.00","tak"
"716","B340","76","T VW","77","302.00","tak"
"717","Potenza RE88","319","H","79","335.00","tak"
"718","B250","78","T","80","218.00","tak"
"719","B250","79","T","82","218.00","tak"
"720","B250","79","T","82","218.00","tak"
"721","B250","79","T","82","228.00","tak"
"722","Ecopia EP150","79","T","82","349.00","tak"
"723","Ecopia EP150","79","H","82","320.00","tak"
"724","B250","80","S","84","259.00","tak"
"725","Ecopia EP25","80","S","84","280.00","tak"
"863","350 ","80","HÂ ","84","247.00","tak"
"727","B250","80","H","84","205.00","tak"
"728","B250","81","T","82","335.00","tak"
"729","B250","82","T","84","339.00","tak"
"730","B250","82","T","88","339.00","tak"
"731","B391","82","T","88","375.00","tak"
"732","B340","85","T","82","405.00","tak"
"733","Turanza ER300","85","H","82","400.00","tak"
"735","Potenza RE040","85","V","81","368.00","tak"
"736","B250","86","T","82","349.00","tak"
"737","Turanza ER300","86","H","82","369.00","tak"
"738","B250","87","T","84","349.00","tak"
"739","B250","87","T VW","84","369.00","tak"
"740","B250","87","H","84","416.00","tak"
"741","Potenza RE080","87","H","84","415.00","tak"
"742","Turanza ER300","87","H G1","84","369.00","tak"
"743","Turanza ER300","87","H","84","398.00","tak"
"744","Turanza T001","87","H","84","400.00","tak"
"745","B250","87","T","88","499.00","tak"
"746","B250","87","H XL VW","88","389.00","tak"
"747","T1-R","132","W ZR XL","87","450.00","tak"
"749","Duravis R410","73","R","87","125.00","tak"
"750","ContiEcoContact 3","73","T","83","210.00","tak"
"751","PASSIO ","73","T","83","125.00","tak"
"752","ECOCONTROL ","73","T","83","171.00","tak"
"753","DURAGRIP  ","73","T","83","202.00","tak"
